gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
FSTL5	0	0	6	0.174153977029988	-Inf	0	0	12	0.362231218444761	-Inf	0	0	8	0.155520863870262	-Inf	0	0	8	0.15071275795639	-Inf
FTCD	0	0	1	0.285470481851461	-Inf	0	0	3	0.890645642160056	-Inf	0	0	3	0.573586590351292	-Inf	0	0	4	0.741138003886611	-Inf
FTCDNL1	0	0	2	0.406579171121778	-Inf	0	0	1	0.211415884755165	-Inf	0	0	0	0	NA	0	0	1	0.131945023419207	-Inf
FTH1	0	0	1	0.53137079790173	-Inf	0	0	2	1.10522363515571	-Inf	0	0	2	0.711777419049788	-Inf	0	0	4	1.37954400723448	-Inf
FTL	11	0.579914495548941	4299	1591.17702812506	-11.4219665324068	7	0.383788364467136	3495	1345.30488652342	-11.775334574266	7	0.247164359169057	10971	2719.65488449627	-13.4256652460657	7	0.239522989468266	9283	2230.0638085085	-13.1846332371313
FTSJ1	639	62.4665572418575	426	8.16818862112177	2.93499593328887	732	74.418391433818	379	7.55749473564229	3.29967923268067	1113	72.8716165825536	608	7.80793636102347	3.22234379646609	1152	73.0932169078992	573	7.13097091199368	3.35756710525312
FUBP1	0	0	2625	90.4234164272761	-Inf	0	0	2740	98.1577627705366	-Inf	0	0	3429	79.1107707837272	-Inf	0	0	3084	68.951522071474	-Inf
FUBP3	2456	101.23633997259	165	87.6761816537854	0.207470380710523	2573	110.298687303695	122	67.4186417444985	0.710196153757073	3542	97.7852063923615	188	66.9070773906801	0.547457394660436	3822	102.253136858808	176	60.6999363183173	0.752378193926319
FUNDC1	0	0	1409	177.093318216855	-Inf	0	0	1540	201.295648960327	-Inf	4	1.07297790035864	2181	183.596067500827	-7.41877098547803	4	1.03980555769166	2397	195.540670678833	-7.55501112448642
FUNDC2	1475	14.075562698686	336	178.540588094981	-3.66498757996294	1382	13.7152671979289	347	191.756300699516	-3.80541934851074	2339	14.949287491012	611	217.44800151971	-3.86252181978704	2555	15.8249568272979	555	191.411731003785	-3.59640578173322
FUOM	0	0	24	1.10183303174833	-Inf	0	0	11	0.525193951521812	-Inf	0	0	43	1.32217678825202	-Inf	0	0	26	0.774739641359656	-Inf
FURIN	1	0.496930098037729	3294	111.888529263999	-7.81480349882536	0	0	2529	89.3373949063888	-Inf	1	0.332821848722355	4038	91.8638857691226	-8.10860385443048	1	0.322532279469173	3632	80.0729251996582	-7.95572714638992
